head,relation,tail,template_id,template
Number of words in English,"languages spoken, written or signed",Ryan Ottley,14,[X] is [REL] by [Y].
jacob tierney,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",jacob tierney,14,[X] is [REL] by [Y].
jayhawkers (film),director,Kevin Wilmott,0,[X] has [REL] as [Y].
Kevin Wilmott,director,jayhawkers (film),1,[X] is [REL] of [Y].
balmaa,director,"d'souza, lawrence",0,[X] has [REL] as [Y].
"d'souza, lawrence",director,balmaa,1,[X] is [REL] of [Y].
dr. jekyll and mr. mouse,director,Joe Barbera,0,[X] has [REL] as [Y].
Joe Barbera,director,dr. jekyll and mr. mouse,1,[X] is [REL] of [Y].
dear albania,director,articles for creation/nate dushku,0,[X] has [REL] as [Y].
articles for creation/nate dushku,director,dear albania,1,[X] is [REL] of [Y].
rescue me (the vampire diaries),director,Leslie Libman,0,[X] has [REL] as [Y].
Leslie Libman,director,rescue me (the vampire diaries),1,[X] is [REL] of [Y].
Devullu,director,Kodi Ramakrishna,0,[X] has [REL] as [Y].
Kodi Ramakrishna,director,Devullu,1,[X] is [REL] of [Y].
Demonios en el Jardin,director,manuel gutierrez aragon,0,[X] has [REL] as [Y].
manuel gutierrez aragon,director,Demonios en el Jardin,1,[X] is [REL] of [Y].
Suburra (film),director,stefano sollima,0,[X] has [REL] as [Y].
stefano sollima,director,Suburra (film),1,[X] is [REL] of [Y].
Korean National Ballet,director,Tae-ji Choi,0,[X] has [REL] as [Y].
Tae-ji Choi,director,Korean National Ballet,1,[X] is [REL] of [Y].
burt rocks (raising hope),director,Jace Alexander,0,[X] has [REL] as [Y].
Jace Alexander,director,burt rocks (raising hope),1,[X] is [REL] of [Y].
my official wife (1926 film),director,Paul L. Stein,0,[X] has [REL] as [Y].
Paul L. Stein,director,my official wife (1926 film),1,[X] is [REL] of [Y].
l'air de paris,director,marcel carné,0,[X] has [REL] as [Y].
marcel carné,director,l'air de paris,1,[X] is [REL] of [Y].
surang,director,Rajaram Vankudre Shantaram,0,[X] has [REL] as [Y].
Rajaram Vankudre Shantaram,director,surang,1,[X] is [REL] of [Y].
Whistleblower (The Office),director,paul lieberstein,0,[X] has [REL] as [Y].
paul lieberstein,director,Whistleblower (The Office),1,[X] is [REL] of [Y].
rendition (uk film),director,jim threapleton,0,[X] has [REL] as [Y].
jim threapleton,director,rendition (uk film),1,[X] is [REL] of [Y].
Gang Busters (serial),director,ray taylor (director),0,[X] has [REL] as [Y].
ray taylor (director),director,Gang Busters (serial),1,[X] is [REL] of [Y].
Chris Stokes (record producer),country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,Chris Stokes (record producer),6,[X] is a group [REL] including [Y].
Michael Bialoguski,country of citizenship,Commonwealth Australia,7,[X] is a member [REL] of [Y].
Commonwealth Australia,country of citizenship,Michael Bialoguski,6,[X] is a group [REL] including [Y].
john roane,country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,john roane,6,[X] is a group [REL] including [Y].
Nathan Cook (actor),country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,Nathan Cook (actor),6,[X] is a group [REL] including [Y].
"alassane n'diaye (footballer, born 1991)",country of citizenship,iso 3166-1:fr,7,[X] is a member [REL] of [Y].
iso 3166-1:fr,country of citizenship,"alassane n'diaye (footballer, born 1991)",6,[X] is a group [REL] including [Y].
Serdar Bayrak,country of citizenship,turkiye,7,[X] is a member [REL] of [Y].
turkiye,country of citizenship,Serdar Bayrak,6,[X] is a group [REL] including [Y].
"E.L. ""Shorty"" Fuller",country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,"E.L. ""Shorty"" Fuller",6,[X] is a group [REL] including [Y].
shawn worthen,country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,shawn worthen,6,[X] is a group [REL] including [Y].
Ger Slot,country of citizenship,Reino Hulandes,7,[X] is a member [REL] of [Y].
Reino Hulandes,country of citizenship,Ger Slot,6,[X] is a group [REL] including [Y].
michael r. (mike) turner,country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,michael r. (mike) turner,6,[X] is a group [REL] including [Y].
Ron Livingstone,country of citizenship,united stated,7,[X] is a member [REL] of [Y].
united stated,country of citizenship,Ron Livingstone,6,[X] is a group [REL] including [Y].
maathu (actress),country of citizenship,ਭਾਰਤ ਗਣਤੰਤਰ,7,[X] is a member [REL] of [Y].
ਭਾਰਤ ਗਣਤੰਤਰ,country of citizenship,maathu (actress),6,[X] is a group [REL] including [Y].
frederick g. guggisberg,country of citizenship,royaume-uni,7,[X] is a member [REL] of [Y].
royaume-uni,country of citizenship,frederick g. guggisberg,6,[X] is a group [REL] including [Y].
konstanty michalski,country of citizenship,PolanD,7,[X] is a member [REL] of [Y].
PolanD,country of citizenship,konstanty michalski,6,[X] is a group [REL] including [Y].
Ernst Karl Abbe,country of citizenship,deutsches kaiserreich,7,[X] is a member [REL] of [Y].
deutsches kaiserreich,country of citizenship,Ernst Karl Abbe,6,[X] is a group [REL] including [Y].
Shaji Neelakantan Karun,country of citizenship,ਭਾਰਤ ਗਣਤੰਤਰ,7,[X] is a member [REL] of [Y].
ਭਾਰਤ ਗਣਤੰਤਰ,country of citizenship,Shaji Neelakantan Karun,6,[X] is a group [REL] including [Y].
John Shasky,member of sports team,Oakland Warriors,7,[X] is a member [REL] of [Y].
Oakland Warriors,member of sports team,John Shasky,6,[X] is a group [REL] including [Y].
aleksandr mikhailovich maslov,member of sports team,fc druzhba yoshkar-ola,7,[X] is a member [REL] of [Y].
fc druzhba yoshkar-ola,member of sports team,aleksandr mikhailovich maslov,6,[X] is a group [REL] including [Y].
Tarek Mostafa,member of sports team,el gounah,7,[X] is a member [REL] of [Y].
el gounah,member of sports team,Tarek Mostafa,6,[X] is a group [REL] including [Y].
Alejandro López de Groot,member of sports team,valencia club de fútbol mestalla,7,[X] is a member [REL] of [Y].
valencia club de fútbol mestalla,member of sports team,Alejandro López de Groot,6,[X] is a group [REL] including [Y].
bruno óscar casanova,member of sports team,Beitar Bat Yam F.C.,7,[X] is a member [REL] of [Y].
Beitar Bat Yam F.C.,member of sports team,bruno óscar casanova,6,[X] is a group [REL] including [Y].
Ingrid Moe,member of sports team,hitec products–mistral home cycling team,7,[X] is a member [REL] of [Y].
hitec products–mistral home cycling team,member of sports team,Ingrid Moe,6,[X] is a group [REL] including [Y].
Dick Duff,member of sports team,Kings Third Jersey,7,[X] is a member [REL] of [Y].
Kings Third Jersey,member of sports team,Dick Duff,6,[X] is a group [REL] including [Y].
Neto Baiano,member of sports team,Sport (soccer team),7,[X] is a member [REL] of [Y].
Sport (soccer team),member of sports team,Neto Baiano,6,[X] is a group [REL] including [Y].
sedat bayrak,member of sports team,turkey national under-23 football team,7,[X] is a member [REL] of [Y].
turkey national under-23 football team,member of sports team,sedat bayrak,6,[X] is a group [REL] including [Y].
"Kotov, Kirill",member of sports team,FC Dynamo Makhachkala,7,[X] is a member [REL] of [Y].
FC Dynamo Makhachkala,member of sports team,"Kotov, Kirill",6,[X] is a group [REL] including [Y].
"Lee Phillips (footballer, born 1980)",member of sports team,Swaythling F.C.,7,[X] is a member [REL] of [Y].
Swaythling F.C.,member of sports team,"Lee Phillips (footballer, born 1980)",6,[X] is a group [REL] including [Y].
rafael chorao,member of sports team,Barretos Esporte Clube,7,[X] is a member [REL] of [Y].
Barretos Esporte Clube,member of sports team,rafael chorao,6,[X] is a group [REL] including [Y].
Bruno Baveni,member of sports team,u. s. sestri levante,7,[X] is a member [REL] of [Y].
u. s. sestri levante,member of sports team,Bruno Baveni,6,[X] is a group [REL] including [Y].
soma novothny,member of sports team,sudtirol calcio,7,[X] is a member [REL] of [Y].
sudtirol calcio,member of sports team,soma novothny,6,[X] is a group [REL] including [Y].
Diego Benaglio,member of sports team,grasshoppers-zürich,7,[X] is a member [REL] of [Y].
grasshoppers-zürich,member of sports team,Diego Benaglio,6,[X] is a group [REL] including [Y].
"Andy Cook (footballer, born 1969)",member of sports team,saints fc,7,[X] is a member [REL] of [Y].
saints fc,member of sports team,"Andy Cook (footballer, born 1969)",6,[X] is a group [REL] including [Y].
wta aix-en-provence open,located in the administrative territorial entity,"aix, bouches-du-rhône",12,[X] is [REL] based in [Y].
"aix, bouches-du-rhône",located in the administrative territorial entity,wta aix-en-provence open,13,[X] geographically has [REL] [Y].
"Pekhawar, Pakistan",located in the administrative territorial entity,peshawar tehsil,12,[X] is [REL] based in [Y].
peshawar tehsil,located in the administrative territorial entity,"Pekhawar, Pakistan",13,[X] geographically has [REL] [Y].
san pawl milqi,located in the administrative territorial entity,St. Paul's Bay,12,[X] is [REL] based in [Y].
St. Paul's Bay,located in the administrative territorial entity,san pawl milqi,13,[X] geographically has [REL] [Y].
"Alpha, Queensland",located in the administrative territorial entity,electoral district of gregory,12,[X] is [REL] based in [Y].
electoral district of gregory,located in the administrative territorial entity,"Alpha, Queensland",13,[X] geographically has [REL] [Y].
Windermere Hills,located in the administrative territorial entity,Tourism in Nevada,12,[X] is [REL] based in [Y].
Tourism in Nevada,located in the administrative territorial entity,Windermere Hills,13,[X] geographically has [REL] [Y].
wierzbinek commune,located in the administrative territorial entity,konin county,12,[X] is [REL] based in [Y].
konin county,located in the administrative territorial entity,wierzbinek commune,13,[X] geographically has [REL] [Y].
Grębków Commune,located in the administrative territorial entity,powiat węgrowski,12,[X] is [REL] based in [Y].
powiat węgrowski,located in the administrative territorial entity,Grębków Commune,13,[X] geographically has [REL] [Y].
"star, nc",located in the administrative territorial entity,"Montgomery County, North Carolina",12,[X] is [REL] based in [Y].
"Montgomery County, North Carolina",located in the administrative territorial entity,"star, nc",13,[X] geographically has [REL] [Y].
north phoenix,located in the administrative territorial entity,"Estrella, Phoenix, Arizona",12,[X] is [REL] based in [Y].
"Estrella, Phoenix, Arizona",located in the administrative territorial entity,north phoenix,13,[X] geographically has [REL] [Y].
slough brook,located in the administrative territorial entity,New jeresy,12,[X] is [REL] based in [Y].
New jeresy,located in the administrative territorial entity,slough brook,13,[X] geographically has [REL] [Y].
bhekha,located in the administrative territorial entity,"flora and fauna of punjab, india",12,[X] is [REL] based in [Y].
"flora and fauna of punjab, india",located in the administrative territorial entity,bhekha,13,[X] geographically has [REL] [Y].
las animas post office,located in the administrative territorial entity,"Las Animas, Colorado",12,[X] is [REL] based in [Y].
"Las Animas, Colorado",located in the administrative territorial entity,las animas post office,13,[X] geographically has [REL] [Y].
Ocqueoc Township,located in the administrative territorial entity,"Presque Isle County, Michigan",12,[X] is [REL] based in [Y].
"Presque Isle County, Michigan",located in the administrative territorial entity,Ocqueoc Township,13,[X] geographically has [REL] [Y].
Dodge City station (Kansas),located in the administrative territorial entity,"History of Dodge City, Kansas",12,[X] is [REL] based in [Y].
"History of Dodge City, Kansas",located in the administrative territorial entity,Dodge City station (Kansas),13,[X] geographically has [REL] [Y].
red rocks amphitheater,located in the administrative territorial entity,Demographics of Colorado,12,[X] is [REL] based in [Y].
Demographics of Colorado,located in the administrative territorial entity,red rocks amphitheater,13,[X] geographically has [REL] [Y].
Jit Sin High School,located in the administrative territorial entity,"Penang, Malaysia",12,[X] is [REL] based in [Y].
"Penang, Malaysia",located in the administrative territorial entity,Jit Sin High School,13,[X] geographically has [REL] [Y].
richardo salampessy,place of birth,"ambon, maluku",0,[X] has [REL] as [Y].
"ambon, maluku",place of birth,richardo salampessy,1,[X] is [REL] of [Y].
Junya Koga,place of birth,"history of saitama, saitama",0,[X] has [REL] as [Y].
"history of saitama, saitama",place of birth,Junya Koga,1,[X] is [REL] of [Y].
Arnold Blanch,place of birth,"mantorville, minnesota",0,[X] has [REL] as [Y].
"mantorville, minnesota",place of birth,Arnold Blanch,1,[X] is [REL] of [Y].
martha kearny,place of birth,áth cliath,0,[X] has [REL] as [Y].
áth cliath,place of birth,martha kearny,1,[X] is [REL] of [Y].
Angelo Massimino,place of birth,"Catania, Sicily",0,[X] has [REL] as [Y].
"Catania, Sicily",place of birth,Angelo Massimino,1,[X] is [REL] of [Y].
charles blair (army),place of birth,Eidyn,0,[X] has [REL] as [Y].
Eidyn,place of birth,charles blair (army),1,[X] is [REL] of [Y].
"scott taylor (footballer, born 1970)",place of birth,havenmuiden,0,[X] has [REL] as [Y].
havenmuiden,place of birth,"scott taylor (footballer, born 1970)",1,[X] is [REL] of [Y].
john jones doles,place of birth,"plain dealing, louisiana",0,[X] has [REL] as [Y].
"plain dealing, louisiana",place of birth,john jones doles,1,[X] is [REL] of [Y].
Klaas Bruinsma (translator),place of birth,easterein,0,[X] has [REL] as [Y].
easterein,place of birth,Klaas Bruinsma (translator),1,[X] is [REL] of [Y].
georg herwegh,place of birth,stuttgard,0,[X] has [REL] as [Y].
stuttgard,place of birth,georg herwegh,1,[X] is [REL] of [Y].
andrew murray scott,place of birth,retail in aberdeen,0,[X] has [REL] as [Y].
retail in aberdeen,place of birth,andrew murray scott,1,[X] is [REL] of [Y].
"בנימין ""פואד"" בן אליעזר",place of birth,al-basrah,0,[X] has [REL] as [Y].
al-basrah,place of birth,"בנימין ""פואד"" בן אליעזר",1,[X] is [REL] of [Y].
zoran lukic (basketball),place of birth,Belgrado,0,[X] has [REL] as [Y].
Belgrado,place of birth,zoran lukic (basketball),1,[X] is [REL] of [Y].
Jim Archibald,place of birth,"craik, saskatchewan",0,[X] has [REL] as [Y].
"craik, saskatchewan",place of birth,Jim Archibald,1,[X] is [REL] of [Y].
guy quaden,place of birth,luik (city),0,[X] has [REL] as [Y].
luik (city),place of birth,guy quaden,1,[X] is [REL] of [Y].
tommy spaulding,place of birth,Suffern (NY),0,[X] has [REL] as [Y].
Suffern (NY),place of birth,tommy spaulding,1,[X] is [REL] of [Y].
Reprise (album),followed by,amore musica,14,[X] is [REL] by [Y].
amore musica,followed by,Reprise (album),15,[X] [REL] [Y].
"the show, the after-party, the hotel",followed by,Back to The Future: The Very Best of Jodeci,14,[X] is [REL] by [Y].
Back to The Future: The Very Best of Jodeci,followed by,"the show, the after-party, the hotel",15,[X] [REL] [Y].
king of the surf guitar,followed by,checkered flag (album),14,[X] is [REL] by [Y].
checkered flag (album),followed by,king of the surf guitar,15,[X] [REL] [Y].
Births in 399,followed by,400 AD,14,[X] is [REL] by [Y].
400 AD,followed by,Births in 399,15,[X] [REL] [Y].
Return of the Howling,followed by,Walkers (novel),14,[X] is [REL] by [Y].
Walkers (novel),followed by,Return of the Howling,15,[X] [REL] [Y].
Old Grey Whistle Theft,followed by,A Song for Europe (Father Ted),14,[X] is [REL] by [Y].
A Song for Europe (Father Ted),followed by,Old Grey Whistle Theft,15,[X] [REL] [Y].
cruel sister (pentangle album),followed by,reflection (pentangle album),14,[X] is [REL] by [Y].
reflection (pentangle album),followed by,cruel sister (pentangle album),15,[X] [REL] [Y].
2012 Czech Republic motorcycle Grand Prix,followed by,2013 czech republic motorcycle grand prix,14,[X] is [REL] by [Y].
2013 czech republic motorcycle grand prix,followed by,2012 Czech Republic motorcycle Grand Prix,15,[X] [REL] [Y].
The Andorian Incident,followed by,breaking the ice (enterprise),14,[X] is [REL] by [Y].
breaking the ice (enterprise),followed by,The Andorian Incident,15,[X] [REL] [Y].
"Serbian parliamentary election, May 1893",followed by,"Serbian parliamentary election, 1895",14,[X] is [REL] by [Y].
"Serbian parliamentary election, 1895",followed by,"Serbian parliamentary election, May 1893",15,[X] [REL] [Y].
Fergus (novel),followed by,The Revolution Script,14,[X] is [REL] by [Y].
The Revolution Script,followed by,Fergus (novel),15,[X] [REL] [Y].
eclipse (crossfaith song),followed by,xeno (album),14,[X] is [REL] by [Y].
xeno (album),followed by,eclipse (crossfaith song),15,[X] [REL] [Y].
siembra,followed by,Canciones Del Solar De Los Aburridos,14,[X] is [REL] by [Y].
Canciones Del Solar De Los Aburridos,followed by,siembra,15,[X] [REL] [Y].
Moses (Coldplay song),followed by,Speed Of Sound (song),14,[X] is [REL] by [Y].
Speed Of Sound (song),followed by,Moses (Coldplay song),15,[X] [REL] [Y].
Notorious (novel),followed by,Reckless (von Ziegesar novel),14,[X] is [REL] by [Y].
Reckless (von Ziegesar novel),followed by,Notorious (novel),15,[X] [REL] [Y].
nissan president,followed by,nissan fuga,14,[X] is [REL] by [Y].
nissan fuga,followed by,nissan president,15,[X] [REL] [Y].
1. April 2000 (film),cast member,Karl Ehmann,7,[X] is a member [REL] of [Y].
Karl Ehmann,cast member,1. April 2000 (film),6,[X] is a group [REL] including [Y].
Secret Interlude,cast member,may beatty,7,[X] is a member [REL] of [Y].
may beatty,cast member,Secret Interlude,6,[X] is a group [REL] including [Y].
nobita and the birth of japan,cast member,Kitamura Koichi,7,[X] is a member [REL] of [Y].
Kitamura Koichi,cast member,nobita and the birth of japan,6,[X] is a group [REL] including [Y].
This Is the Night (movie),cast member,allison lloyd,7,[X] is a member [REL] of [Y].
allison lloyd,cast member,This Is the Night (movie),6,[X] is a group [REL] including [Y].
flora's letter,cast member,Casey Affleck filmography,7,[X] is a member [REL] of [Y].
Casey Affleck filmography,cast member,flora's letter,6,[X] is a group [REL] including [Y].
ronde,cast member,daniel gélin,7,[X] is a member [REL] of [Y].
daniel gélin,cast member,ronde,6,[X] is a group [REL] including [Y].
Howrah Bridge (film),cast member,Dada Muni,7,[X] is a member [REL] of [Y].
Dada Muni,cast member,Howrah Bridge (film),6,[X] is a group [REL] including [Y].
lemony snicket's series of unfortunate events,cast member,Jennifer Audrey Coolidge,7,[X] is a member [REL] of [Y].
Jennifer Audrey Coolidge,cast member,lemony snicket's series of unfortunate events,6,[X] is a group [REL] including [Y].
two deaths,cast member,Joe Shrapnel,7,[X] is a member [REL] of [Y].
Joe Shrapnel,cast member,two deaths,6,[X] is a group [REL] including [Y].
Collateral (film),cast member,"Waxman, Michael",7,[X] is a member [REL] of [Y].
"Waxman, Michael",cast member,Collateral (film),6,[X] is a group [REL] including [Y].
Water Boys (TV series),cast member,杉本哲太,7,[X] is a member [REL] of [Y].
杉本哲太,cast member,Water Boys (TV series),6,[X] is a group [REL] including [Y].
Senza ragione,cast member,Duilio Del Prete,7,[X] is a member [REL] of [Y].
Duilio Del Prete,cast member,Senza ragione,6,[X] is a group [REL] including [Y].
Heartbreak (1931 film),cast member,hardie albright,7,[X] is a member [REL] of [Y].
hardie albright,cast member,Heartbreak (1931 film),6,[X] is a group [REL] including [Y].
north and south 2004 miniseries,cast member,daniela denby ashe,7,[X] is a member [REL] of [Y].
daniela denby ashe,cast member,north and south 2004 miniseries,6,[X] is a group [REL] including [Y].
Enemy of the state (film),cast member,ivana milavich,7,[X] is a member [REL] of [Y].
ivana milavich,cast member,Enemy of the state (film),6,[X] is a group [REL] including [Y].
Skilsmissens born,cast member,grethe holmer,7,[X] is a member [REL] of [Y].
grethe holmer,cast member,Skilsmissens born,6,[X] is a group [REL] including [Y].
Carl Holty,exhibition history,Metropolitan Art Museum,0,[X] has [REL] as [Y].
Metropolitan Art Museum,exhibition history,Carl Holty,1,[X] is [REL] of [Y].
juan carlos alom,exhibition history,Havana Biennial,0,[X] has [REL] as [Y].
Havana Biennial,exhibition history,juan carlos alom,1,[X] is [REL] of [Y].
F24,exhibition history,royal air force museum cosford,0,[X] has [REL] as [Y].
royal air force museum cosford,exhibition history,F24,1,[X] is [REL] of [Y].
birnbaum (painting),exhibition history,bauhaus-archiv,0,[X] has [REL] as [Y].
bauhaus-archiv,exhibition history,birnbaum (painting),1,[X] is [REL] of [Y].
Lamentation (Pietà),exhibition history,exposition des primitifs flamands a bruges,0,[X] has [REL] as [Y].
exposition des primitifs flamands a bruges,exhibition history,Lamentation (Pietà),1,[X] is [REL] of [Y].
bell r-13,exhibition history,Wings of Freedom Aviation Museum,0,[X] has [REL] as [Y].
Wings of Freedom Aviation Museum,exhibition history,bell r-13,1,[X] is [REL] of [Y].
summer evening at skagen beach – the artist and his,exhibition history,Berlim,0,[X] has [REL] as [Y].
Berlim,exhibition history,summer evening at skagen beach – the artist and his,1,[X] is [REL] of [Y].
avro canada cf-100 canuck/comments,exhibition history,Royal Military College (Kingston),0,[X] has [REL] as [Y].
Royal Military College (Kingston),exhibition history,avro canada cf-100 canuck/comments,1,[X] is [REL] of [Y].
Boxer of Quirinal,exhibition history,Metropolitan Art Museum,0,[X] has [REL] as [Y].
Metropolitan Art Museum,exhibition history,Boxer of Quirinal,1,[X] is [REL] of [Y].
Togo (dog),exhibition history,peabody museum of natural history,0,[X] has [REL] as [Y].
peabody museum of natural history,exhibition history,Togo (dog),1,[X] is [REL] of [Y].
benefits supervisor sleeping,exhibition history,Flowers Gallery,0,[X] has [REL] as [Y].
Flowers Gallery,exhibition history,benefits supervisor sleeping,1,[X] is [REL] of [Y].
beech 17 traveller,exhibition history,1941 historical aircraft group museum,0,[X] has [REL] as [Y].
1941 historical aircraft group museum,exhibition history,beech 17 traveller,1,[X] is [REL] of [Y].
Sanxion,exhibition history,finnish museum of games,0,[X] has [REL] as [Y].
finnish museum of games,exhibition history,Sanxion,1,[X] is [REL] of [Y].
liero,exhibition history,finnish museum of games,0,[X] has [REL] as [Y].
finnish museum of games,exhibition history,liero,1,[X] is [REL] of [Y].
birnbaum (painting),exhibition history,stone hill center,0,[X] has [REL] as [Y].
stone hill center,exhibition history,birnbaum (painting),1,[X] is [REL] of [Y].
nr211,exhibition history,National Air and Space Museum (United States),0,[X] has [REL] as [Y].
National Air and Space Museum (United States),exhibition history,nr211,1,[X] is [REL] of [Y].
leonard schrader,occupation,hollywood producer,0,[X] has [REL] as [Y].
hollywood producer,occupation,leonard schrader,1,[X] is [REL] of [Y].
kaitlin doubleday,occupation,Television actor,0,[X] has [REL] as [Y].
Television actor,occupation,kaitlin doubleday,1,[X] is [REL] of [Y].
John Tracy (politician),occupation,Politician,0,[X] has [REL] as [Y].
Politician,occupation,John Tracy (politician),1,[X] is [REL] of [Y].
kevin collins (canadian musician),occupation,music production (music industry),0,[X] has [REL] as [Y].
music production (music industry),occupation,kevin collins (canadian musician),1,[X] is [REL] of [Y].
frances eleanor ternan,occupation,Author of novels,0,[X] has [REL] as [Y].
Author of novels,occupation,frances eleanor ternan,1,[X] is [REL] of [Y].
marko vučetić,occupation,Association football player,0,[X] has [REL] as [Y].
Association football player,occupation,marko vučetić,1,[X] is [REL] of [Y].
ulric de fonvielle,occupation,Political journalists,0,[X] has [REL] as [Y].
Political journalists,occupation,ulric de fonvielle,1,[X] is [REL] of [Y].
"lawrenson, mark",occupation,Association football player,0,[X] has [REL] as [Y].
Association football player,occupation,"lawrenson, mark",1,[X] is [REL] of [Y].
Debbie Mayfield,occupation,Politician,0,[X] has [REL] as [Y].
Politician,occupation,Debbie Mayfield,1,[X] is [REL] of [Y].
Robert Reuland,occupation,attorney,0,[X] has [REL] as [Y].
attorney,occupation,Robert Reuland,1,[X] is [REL] of [Y].
ramesh chandra jha,occupation,Political journalists,0,[X] has [REL] as [Y].
Political journalists,occupation,ramesh chandra jha,1,[X] is [REL] of [Y].
Alireza Marandi,occupation,Politician,0,[X] has [REL] as [Y].
Politician,occupation,Alireza Marandi,1,[X] is [REL] of [Y].
ernesto belloni,occupation,Politician,0,[X] has [REL] as [Y].
Politician,occupation,ernesto belloni,1,[X] is [REL] of [Y].
Richard Fester,occupation,amateur historian,0,[X] has [REL] as [Y].
amateur historian,occupation,Richard Fester,1,[X] is [REL] of [Y].
Alexandra Jiménez,occupation,Television actor,0,[X] has [REL] as [Y].
Television actor,occupation,Alexandra Jiménez,1,[X] is [REL] of [Y].
peter zarella,occupation,Judge (United States),0,[X] has [REL] as [Y].
Judge (United States),occupation,peter zarella,1,[X] is [REL] of [Y].
enrique ruiz,given name,enrique (name),0,[X] has [REL] as [Y].
enrique (name),given name,enrique ruiz,1,[X] is [REL] of [Y].
"Pierre d'Alcantara Charles Marie, Prince d'Arenberg, duc d'Arenberg",given name,Pierre (first name),0,[X] has [REL] as [Y].
Pierre (first name),given name,"Pierre d'Alcantara Charles Marie, Prince d'Arenberg, duc d'Arenberg",1,[X] is [REL] of [Y].
monika derberthauser,given name,Monika (given name),0,[X] has [REL] as [Y].
Monika (given name),given name,monika derberthauser,1,[X] is [REL] of [Y].
Ioannis Antonopoulos,given name,Ioannis (name),0,[X] has [REL] as [Y].
Ioannis (name),given name,Ioannis Antonopoulos,1,[X] is [REL] of [Y].
Manuel Vera Vázquez,given name,Manuel (given name),0,[X] has [REL] as [Y].
Manuel (given name),given name,Manuel Vera Vázquez,1,[X] is [REL] of [Y].
Henri Proglio,given name,henri (first name),0,[X] has [REL] as [Y].
henri (first name),given name,Henri Proglio,1,[X] is [REL] of [Y].
Nathalie Elgrably-Levy,given name,Nathalie,0,[X] has [REL] as [Y].
Nathalie,given name,Nathalie Elgrably-Levy,1,[X] is [REL] of [Y].
"Joseph Smith, III",given name,Joe (name),0,[X] has [REL] as [Y].
Joe (name),given name,"Joseph Smith, III",1,[X] is [REL] of [Y].
Kurt Adams (politician),given name,Curt,0,[X] has [REL] as [Y].
Curt,given name,Kurt Adams (politician),1,[X] is [REL] of [Y].
Dean Chavers,given name,dean (name),0,[X] has [REL] as [Y].
dean (name),given name,Dean Chavers,1,[X] is [REL] of [Y].
James Brown (Australian politician),given name,Gemmes,0,[X] has [REL] as [Y].
